row,col,leg 1 angle,leg 1 color,leg 2 color,leg 3 color,center color
6.59713595499958,2.0,30,1,1,1,1
6.34713595499958,2.5,90,1,1,1,-1
7.156152949374527,2.0,90,1,-1,-1,-1
7.406152949374527,2.5,30,-1,-1,1,-1
8.215169943749475,2.0,30,-1,1,1,-1
7.9651699437494745,2.5,90,-1,-1,1,1
8.774186938124423,2.0,90,1,1,-1,1
9.024186938124423,2.5,30,-1,1,-1,-1
9.83320393249937,2.0,30,-1,1,-1,1
9.58320393249937,2.5,90,-1,1,1,-1
10.392220926874316,2.0,90,1,1,-1,1
10.642220926874316,2.5,30,1,1,-1,-1
11.451237921249264,2.0,30,1,-1,1,1
11.201237921249264,2.5,90,1,1,-1,-1
12.010254915624213,2.0,90,1,1,-1,1
12.260254915624213,2.5,30,1,-1,1,-1
13.06927190999916,2.0,30,-1,-1,1,-1
12.81927190999916,2.5,90,1,1,-1,1
13.628288904374106,2.0,90,-1,1,1,1
13.878288904374106,2.5,30,-1,-1,1,-1
0.125,3.0,30,1,1,-1,-1
0.6840169943749475,3.0,90,-1,-1,1,-1
0.9340169943749475,3.5,30,1,1,1,1
1.743033988749895,3.0,30,1,1,-1,1
1.493033988749895,3.5,90,-1,-1,1,1
2.3020509831248424,3.0,90,-1,-1,1,-1
2.5520509831248424,3.5,30,-1,1,-1,1
3.36106797749979,3.0,30,-1,1,1,1
3.11106797749979,3.5,90,1,-1,1,-1
3.9200849718747373,3.0,90,1,-1,-1,-1
4.170084971874737,3.5,30,-1,-1,1,-1
4.979101966249685,3.0,30,1,1,-1,1
4.729101966249685,3.5,90,-1,-1,1,1
5.538118960624632,3.0,90,1,-1,1,1
5.788118960624632,3.5,30,1,1,1,1
6.59713595499958,3.0,30,-1,1,-1,1
6.34713595499958,3.5,90,1,1,1,-1
7.156152949374527,3.0,90,1,-1,-1,1
7.406152949374527,3.5,30,-1,-1,-1,-1
8.215169943749475,3.0,30,-1,1,-1,-1
7.9651699437494745,3.5,90,-1,1,1,-1
8.774186938124423,3.0,90,-1,-1,1,-1
9.024186938124423,3.5,30,1,-1,-1,-1
9.83320393249937,3.0,30,1,1,-1,-1
9.58320393249937,3.5,90,1,-1,1,-1
10.392220926874316,3.0,90,-1,1,1,-1
10.642220926874316,3.5,30,-1,1,-1,1
11.451237921249264,3.0,30,1,1,1,-1
11.201237921249264,3.5,90,-1,1,1,-1
12.010254915624213,3.0,90,1,1,-1,1
12.260254915624213,3.5,30,1,-1,-1,1
13.06927190999916,3.0,30,1,-1,1,-1
12.81927190999916,3.5,90,1,1,-1,-1
13.628288904374106,3.0,90,1,1,1,1
13.878288904374106,3.5,30,1,-1,1,-1
0.125,4.0,30,1,1,-1,1
0.6840169943749475,4.0,90,1,1,1,1
0.9340169943749475,4.5,30,1,1,1,-1
1.743033988749895,4.0,30,-1,1,1,1
1.493033988749895,4.5,90,1,-1,1,1
2.3020509831248424,4.0,90,1,-1,1,1
2.5520509831248424,4.5,30,-1,1,1,1
3.36106797749979,4.0,30,-1,1,-1,-1
3.11106797749979,4.5,90,1,1,1,1
3.9200849718747373,4.0,90,1,1,1,1
4.170084971874737,4.5,30,-1,-1,-1,-1
4.979101966249685,4.0,30,-1,1,-1,-1
4.729101966249685,4.5,90,-1,1,1,-1
5.538118960624632,4.0,90,-1,1,-1,-1
5.788118960624632,4.5,30,-1,-1,-1,1
6.59713595499958,4.0,30,1,-1,1,-1
6.34713595499958,4.5,90,1,-1,-1,-1
7.156152949374527,4.0,90,1,-1,-1,-1
7.406152949374527,4.5,30,-1,-1,-1,-1
8.215169943749475,4.0,30,-1,-1,-1,-1
7.9651699437494745,4.5,90,-1,1,-1,1
8.774186938124423,4.0,90,-1,1,1,1
9.024186938124423,4.5,30,1,-1,-1,-1
9.83320393249937,4.0,30,1,1,-1,-1
9.58320393249937,4.5,90,-1,1,1,1
10.392220926874316,4.0,90,-1,-1,1,-1
10.642220926874316,4.5,30,1,1,-1,-1
11.451237921249264,4.0,30,1,1,1,1
11.201237921249264,4.5,90,-1,-1,1,1
12.010254915624213,4.0,90,-1,-1,-1,-1
12.260254915624213,4.5,30,-1,1,1,1
13.06927190999916,4.0,30,1,1,-1,1
12.81927190999916,4.5,90,1,-1,-1,-1
13.628288904374106,4.0,90,1,1,-1,1
13.878288904374106,4.5,30,-1,1,1,-1
0.125,5.0,30,1,1,-1,-1
0.6840169943749475,5.0,90,-1,1,-1,1
0.9340169943749475,5.5,30,1,1,-1,1
1.743033988749895,5.0,30,1,-1,1,-1
1.493033988749895,5.5,90,1,1,-1,-1
2.3020509831248424,5.0,90,1,1,-1,1
2.5520509831248424,5.5,30,1,-1,1,1
3.36106797749979,5.0,30,-1,-1,1,-1
3.11106797749979,5.5,90,1,1,-1,1
3.9200849718747373,5.0,90,-1,1,1,1
4.170084971874737,5.5,30,1,-1,1,-1
4.979101966249685,5.0,30,-1,-1,-1,-1
4.729101966249685,5.5,90,-1,1,1,1
5.538118960624632,5.0,90,-1,1,-1,-1
5.788118960624632,5.5,30,1,-1,-1,1
6.59713595499958,5.0,30,1,1,-1,1
6.34713595499958,5.5,90,1,-1,1,-1
7.156152949374527,5.0,90,1,-1,-1,1
7.406152949374527,5.5,30,1,1,1,-1
8.215169943749475,5.0,30,-1,1,-1,1
7.9651699437494745,5.5,90,-1,1,-1,1
8.774186938124423,5.0,90,1,1,1,1
9.024186938124423,5.5,30,-1,-1,1,1
9.83320393249937,5.0,30,1,1,-1,1
9.58320393249937,5.5,90,1,1,1,1
10.392220926874316,5.0,90,1,-1,-1,1
10.642220926874316,5.5,30,1,1,-1,1
11.451237921249264,5.0,30,1,1,1,1
11.201237921249264,5.5,90,-1,-1,1,1
12.010254915624213,5.0,90,-1,-1,-1,1
12.260254915624213,5.5,30,-1,1,-1,1
13.06927190999916,5.0,30,-1,-1,1,-1
12.81927190999916,5.5,90,1,-1,1,-1
13.628288904374106,5.0,90,1,1,-1,1
13.878288904374106,5.5,30,-1,1,1,1
0.125,6.0,30,1,1,-1,1
0.6840169943749475,6.0,90,1,1,-1,-1
0.9340169943749475,6.5,30,1,-1,-1,-1
1.743033988749895,6.0,30,1,-1,1,-1
1.493033988749895,6.5,90,1,1,-1,-1
2.3020509831248424,6.0,90,1,1,-1,-1
2.5520509831248424,6.5,30,1,-1,1,-1
3.36106797749979,6.0,30,-1,-1,-1,-1
3.11106797749979,6.5,90,1,1,-1,-1
3.9200849718747373,6.0,90,-1,1,1,1
4.170084971874737,6.5,30,1,-1,1,-1
4.979101966249685,6.0,30,-1,1,-1,-1
4.729101966249685,6.5,90,-1,1,-1,1
5.538118960624632,6.0,90,-1,-1,1,-1
5.788118960624632,6.5,30,-1,1,-1,1
6.59713595499958,6.0,30,-1,1,-1,1
6.34713595499958,6.5,90,1,-1,-1,-1
7.156152949374527,6.0,90,-1,-1,-1,1
7.406152949374527,6.5,30,-1,-1,1,1
8.215169943749475,6.0,30,1,1,1,1
7.9651699437494745,6.5,90,1,-1,1,-1
8.774186938124423,6.0,90,1,1,1,-1
9.024186938124423,6.5,30,1,1,1,1
9.83320393249937,6.0,30,1,1,1,1
9.58320393249937,6.5,90,1,1,1,-1
10.392220926874316,6.0,90,-1,1,1,1
10.642220926874316,6.5,30,1,1,1,1
11.451237921249264,6.0,30,-1,1,1,-1
11.201237921249264,6.5,90,-1,-1,1,-1
12.010254915624213,6.0,90,1,-1,1,1
12.260254915624213,6.5,30,-1,-1,1,-1
13.06927190999916,6.0,30,-1,-1,1,-1
12.81927190999916,6.5,90,1,-1,1,1
13.628288904374106,6.0,90,-1,-1,1,1
13.878288904374106,6.5,30,1,1,-1,-1
0.125,7.0,30,1,1,-1,-1
0.6840169943749475,7.0,90,-1,-1,-1,-1
0.9340169943749475,7.5,30,1,1,1,1
1.743033988749895,7.0,30,1,1,1,1
1.493033988749895,7.5,90,-1,-1,-1,-1
2.3020509831248424,7.0,90,1,1,-1,-1
2.5520509831248424,7.5,30,-1,-1,1,1
3.36106797749979,7.0,30,1,-1,1,1
3.11106797749979,7.5,90,-1,-1,-1,-1
3.9200849718747373,7.0,90,-1,1,1,1
4.170084971874737,7.5,30,1,-1,1,-1
4.979101966249685,7.0,30,1,-1,1,-1
4.729101966249685,7.5,90,1,1,1,-1
